"NAME","B25071_001E","state","county","tract"
"Census Tract 70.90 Denver County Colorado","44.2","08","031","007090"
"Census Tract 70.91 Denver County Colorado","51.0","08","031","007091"
"Census Tract 83.04 Denver County Colorado","29.7","08","031","008304"
"Census Tract 83.05 Denver County Colorado","34.8","08","031","008305"
"Census Tract 83.06 Denver County Colorado","33.3","08","031","008306"
"Census Tract 83.12 Denver County Colorado","30.0","08","031","008312"
"Census Tract 83.86 Denver County Colorado","30.1","08","031","008386"
"Census Tract 83.87 Denver County Colorado","24.7","08","031","008387"
"Census Tract 83.88 Denver County Colorado","32.1","08","031","008388"
"Census Tract 83.89 Denver County Colorado","37.7","08","031","008389"
"Census Tract 83.90 Denver County Colorado","37.0","08","031","008390"
"Census Tract 83.91 Denver County Colorado","27.1","08","031","008391"
"Census Tract 119.02 Denver County Colorado","40.6","08","031","011902"
"Census Tract 119.03 Denver County Colorado","27.5","08","031","011903"
"Census Tract 120.01 Denver County Colorado","51.0","08","031","012001"
"Census Tract 120.10 Denver County Colorado","27.6","08","031","012010"
"Census Tract 120.15 Denver County Colorado","30.3","08","031","012015"
"Census Tract 120.16 Denver County Colorado","26.8","08","031","012016"
"Census Tract 153 Denver County Colorado","31.1","08","031","015300"
"Census Tract 154 Denver County Colorado","27.4","08","031","015400"
"Census Tract 155 Denver County Colorado","30.1","08","031","015500"
"Census Tract 156 Denver County Colorado","20.6","08","031","015600"
"Census Tract 157 Denver County Colorado","28.6","08","031","015700"
"Census Tract 158 Denver County Colorado","35.2","08","031","015800"
"Census Tract 9800.01 Denver County Colorado","-666666666.0","08","031","980001"
"Census Tract 9801 Denver County Colorado","-666666666.0","08","031","980100"
"Census Tract 9802 Denver County Colorado","-666666666.0","08","031","980200"
